GHO|Indicator|PUBLISHSTATE|PUBLISH STATES|YEAR|Year|REGION|WHO region|ISO|Country|Value
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|1992|1992|AMR|Americas|COL|Colombia|1.046
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|1992|1992|WPR|Western Pacific|JPN|Japan|1.766
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|1992|1992|AMR|Americas|KNA|Saint Kitts and Nevis|0.738
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|1993|1993|EUR|Europe|HRV|Croatia|2.007
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|1993|1993|SEAR|South-East Asia|IDN|Indonesia|0.058
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|1993|1993|AMR|Americas|KNA|Saint Kitts and Nevis|0.744
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|1993|1993|EMR|Eastern Mediterranean|TUN|Tunisia|0.606
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|1994|1994|AMR|Americas|KNA|Saint Kitts and Nevis|0.907
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|1994|1994|EMR|Eastern Mediterranean|PAK|Pakistan|0.542
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|1995|1995|EUR|Europe|HUN|Hungary|3.391
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|1995|1995|WPR|Western Pacific|NRU|Nauru|1.455
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|1996|1996|AMR|Americas|COL|Colombia|1.162
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|1996|1996|SEAR|South-East Asia|LKA|Sri Lanka|0.285
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|1996|1996|SEAR|South-East Asia|MDV|Maldives|0.671
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|1997|1997|AFR|Africa|AGO|Angola|0.077
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|1997|1997|AMR|Americas|CUB|Cuba|5.657
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|1997|1997|EMR|Eastern Mediterranean|LBY|Libya|1.29
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|1997|1997|SEAR|South-East Asia|LKA|Sri Lanka|0.311
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|1997|1997|EMR|Eastern Mediterranean|TUN|Tunisia|0.703
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|1998|1998|AMR|Americas|CAN|Canada|1.858
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|1998|1998|EMR|Eastern Mediterranean|PAK|Pakistan|0.611
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|1999|1999|AMR|Americas|ATG|Antigua and Barbuda|0.169
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|1999|1999|EUR|Europe|HRV|Croatia|1.813
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|1999|1999|WPR|Western Pacific|SGP|Singapore|1.359
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2000|2000|AMR|Americas|BRA|Brazil|1.153
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2000|2000|AMR|Americas|DOM|Dominican Republic|1.876
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2000|2000|EMR|Eastern Mediterranean|OMN|Oman|1.249
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2000|2000|EMR|Eastern Mediterranean|SAU|Saudi Arabia|0.675
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2000|2000|AMR|Americas|SUR|Suriname|0.449
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2001|2001|AFR|Africa|BWA|Botswana|0.291
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2001|2001|AMR|Americas|CAN|Canada|1.9
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2001|2001|WPR|Western Pacific|NZL|New Zealand|2.366
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2001|2001|EMR|Eastern Mediterranean|PAK|Pakistan|0.658
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2001|2001|WPR|Western Pacific|TON|Tonga|0.343
HRH_26|Physicians density (per 1000 population)|PUBLISHED|Published|2001|2001|EUR|Europe|TUR|Turkey|1.296
