"Indicator"|"Country"|"Population"
"Pre-primary"|"Morocco"|1147384
"Pre-primary"|"Mozambique"|2450027
"Pre-primary"|"Myanmar"|1742062
"Pre-primary"|"Namibia"|109780
"Pre-primary"|"Nauru"|719
"Pre-primary"|"Nepal"|1359079
"Pre-primary"|"Netherlands"|404468
"Pre-primary"|"Nl Antilles"|"NA"
"Pre-primary"|"New Caledonia"|"NA"
"Pre-primary"|"New Zealand"|119094
"Pre-primary"|"Nicaragua"|396727
"Pre-primary"|"Niger"|1631458
"Pre-primary"|"Nigeria"|15089494
"Pre-primary"|"Niue"|32
"Pre-primary"|"Norfolk Island"|"NA"
"Pre-primary"|"Norway"|176085
"Pre-primary"|"Oman"|94035
"Pre-primary"|"Pakistan"|7901758
"Pre-primary"|"Palau"|774
"Pre-primary"|"Palestine"|228166
"Pre-primary"|"Panama"|146615
"Pre-primary"|"Papua New Guinea"|181214
"Pre-primary"|"Paraguay"|440391
"Pre-primary"|"Peru"|1754663
"Pre-primary"|"Philippines"|2281603
"Pre-primary"|"Poland"|1419893
"Pre-primary"|"Portugal"|329540
"Pre-primary"|"Puerto Rico"|97099
"Pre-primary"|"Qatar"|51336
"Pre-primary"|"Republic of Korea"|1292154
"Pre-primary"|"Republic of Moldova"|148859
"Pre-primary"|"Réunion"|"NA"
"Pre-primary"|"Romania"|860894
"Pre-primary"|"Russian Federation"|5874959
"Pre-primary"|"Rwanda"|895024
"Pre-primary"|"Saint Helena"|"NA"
"Pre-primary"|"Saint Kitts and Nevis"|1872
"Pre-primary"|"Saint Lucia"|5729
"Pre-primary"|"Saint Pierre and Miquelon"|"NA"
"Pre-primary"|"Saint Vincent and the Grenadines"|3647
"Pre-primary"|"Samoa"|9895
"Pre-primary"|"San Marino"|1112
"Pre-primary"|"Sao Tome and Principe"|15971
"Pre-primary"|"Saudi Arabia"|1795798
"Pre-primary"|"Senegal"|1160840
"Pre-primary"|"Serbia"|299219
"Pre-primary"|"Seychelles"|2673
"Pre-primary"|"Sierra Leone"|522128
"Pre-primary"|"Singapore"|"NA"
"Pre-primary"|"Sint Maarten (Dutch part)"|"NA"
"Pre-primary"|"Slovakia"|157186
"Pre-primary"|"Slovenia"|56057
"Pre-primary"|"Solomon Islands"|45511
"Pre-primary"|"Somalia"|974204
"Pre-primary"|"South Africa"|1025955
"Pre-primary"|"South Sudan"|578548
"Pre-primary"|"Spain"|1442756
"Pre-primary"|"Sri Lanka"|363365
"Pre-primary"|"Sudan"|2111241
"Pre-primary"|"Sudan (pre-secession)"|"NA"
"Pre-primary"|"Suriname"|20478
"Pre-primary"|"Swaziland"|93276
"Pre-primary"|"Sweden"|419258
"Pre-primary"|"Switzerland"|149128
"Pre-primary"|"Syrian Arab Republic"|1568380
"Pre-primary"|"Tajikistan"|690997
"Pre-primary"|"Thailand"|2555021
"Pre-primary"|"The former Yugoslav Republic of Macedonia"|70859
"Pre-primary"|"Timor-Leste"|64719
"Pre-primary"|"Togo"|562054
"Pre-primary"|"Tokelau"|47
"Pre-primary"|"Tonga"|5449
"Pre-primary"|"Trinidad and Tobago"|37864
"Pre-primary"|"Tunisia"|494195
"Pre-primary"|"Turkey"|3831525
"Pre-primary"|"Turkmenistan"|407081
"Pre-primary"|"Turks and Caicos Islands"|1093
"Pre-primary"|"Tuvalu"|705
"Pre-primary"|"Uganda"|3674384
"Pre-primary"|"Ukraine"|1198202
"Pre-primary"|"United Arab Emirates"|145806
"Pre-primary"|"United Kingdom of Great Britain and Northern Ireland"|1427427
"Pre-primary"|"United Republic of Tanzania"|2803167
"Pre-primary"|"United States of America"|12294735
"Pre-primary"|"United States Virgin Islands"|"NA"
"Pre-primary"|"Uruguay"|148539
"Pre-primary"|"Uzbekistan"|2084755
"Pre-primary"|"Vanuatu"|18401
"Pre-primary"|"Venezuela (Bolivarian Republic of)"|1736640
"Pre-primary"|"Viet Nam"|4225190
"Pre-primary"|"Western Sahara"|"NA"
"Pre-primary"|"Yemen"|1964363
"Pre-primary"|"Zambia"|1781483
"Pre-primary"|"Zimbabwe"|1110113
"Primary"|"Afghanistan"|5311256
"Primary"|"Albania"|254061
"Primary"|"Algeria"|2923015
"Primary"|"American Samoa"|8729
"Primary"|"Andorra"|"NA"
"Primary"|"Angola"|3450515
"Primary"|"Anguilla"|"NA"
"Primary"|"Antigua and Barbuda"|10884
"Primary"|"Argentina"|3966531
"Primary"|"Armenia"|111840
"Primary"|"Aruba"|8668
"Primary"|"Australia"|1929513
"Primary"|"Austria"|327522
"Primary"|"Azerbaijan"|513587
"Primary"|"Bahamas"|31471
"Primary"|"Bahrain"|73504
"Primary"|"Bangladesh"|16261558
"Primary"|"Barbados"|21441
"Primary"|"Belarus"|346003
"Primary"|"Belgium"|703313
"Primary"|"Belize"|43652
"Primary"|"Benin"|1537490
"Primary"|"Bermuda"|4847
"Primary"|"Bhutan"|99891
"Primary"|"Bolivia"|1458186
"Primary"|"Bosnia and Herzegovina"|"NA"
"Primary"|"Botswana"|311037
"Primary"|"Brazil"|13694158
"Primary"|"British Virgin Islands"|2881
"Primary"|"Brunei Darussalam"|43767
"Primary"|"Bulgaria"|252263
"Primary"|"Burkina Faso"|2613259
"Primary"|"Burundi"|1369019
"Primary"|"Cambodia"|1749603
"Primary"|"Cameroon"|3310494
"Primary"|"Canada"|2197613
"Primary"|"Cabo Verde"|64010
"Primary"|"Cayman Islands"|"NA"
"Primary"|"Central African Republic"|679602
"Primary"|"Chad"|2070809
"Primary"|"Chile"|1512739
"Primary"|"China"|78397066
"Primary"|"China, Hong Kong Special Administrative Region"|356850
"Primary"|"China, Macao Special Administrative Region"|46871
"Primary"|"Colombia"|4425034
"Primary"|"Comoros"|106377
"Primary"|"Congo"|634253
"Primary"|"Cook Islands"|1768
"Primary"|"Costa Rica"|475621
"Primary"|"Côte d'Ivoire"|3033236
"Primary"|"Croatia"|181271
"Primary"|"Cuba"|832018
"Primary"|"Curaçao"|"NA"
"Primary"|"Cyprus"|53930
"Primary"|"Czech Republic"|438151
"Primary"|"Democratic People's Republic of Korea"|1537406
"Primary"|"Democratic Republic of the Congo"|10296241
"Primary"|"Denmark"|405151
"Primary"|"Djibouti"|89980
"Primary"|"Dominica"|7479
"Primary"|"Dominican Republic"|1231702
"Primary"|"Ecuador"|1833206
"Primary"|"Egypt"|9390788
"Primary"|"El Salvador"|830024
"Primary"|"Equatorial Guinea"|97693
"Primary"|"Eritrea"|"NA"
"Primary"|"Estonia"|74104
"Primary"|"Ethiopia"|12615849
"Primary"|"Faeroe Islands"|"NA"
"Primary"|"Falkland Islands (Malvinas)"|"NA"
"Primary"|"Fiji"|96134
"Primary"|"Finland"|350352
"Primary"|"France"|3848061
"Primary"|"French Guiana"|"NA"
"Primary"|"French Polynesia"|"NA"
"Primary"|"Gabon"|188930
"Primary"|"Gambia"|268942
"Primary"|"Georgia"|264611
"Primary"|"Germany"|3021619
"Primary"|"Ghana"|3542150
"Primary"|"Gibraltar"|2140
"Primary"|"Greece"|624689
"Primary"|"Grenada"|13217
"Primary"|"Guadeloupe"|"NA"
"Primary"|"Guam"|"NA"
"Primary"|"Guatemala"|2278070
"Primary"|"Guinea"|1682908
"Primary"|"Guinea-Bissau"|239964
