"State Code"|"State Name"|"District Code"|"District Name"|"TRU"|"Water-in-premises"|"Water.out.premises"|"Unimproved.sanitation"|"Unsafe.drainage"
"01"|"JAMMU & KASHMIR"|"018"|"Kishtwar"|"Rural"|20.2|79.8|86.8|96.1
"01"|"JAMMU & KASHMIR"|"018"|"Kishtwar"|"Urban"|93.7|6.3|30.8|59.4
"01"|"JAMMU & KASHMIR"|"019"|"Udhampur"|"Total"|23.1|76.9|81.1|93.1
"01"|"JAMMU & KASHMIR"|"019"|"Udhampur"|"Rural"|12|88|92.9|98.6
"01"|"JAMMU & KASHMIR"|"019"|"Udhampur"|"Urban"|74.9|25.1|26.3|66.9
"01"|"JAMMU & KASHMIR"|"020"|"Reasi"|"Total"|23.4|76.6|85.3|94.4
"01"|"JAMMU & KASHMIR"|"020"|"Reasi"|"Rural"|18.3|81.7|91.2|98.4
"01"|"JAMMU & KASHMIR"|"020"|"Reasi"|"Urban"|75.6|24.4|24.9|53.1
"01"|"JAMMU & KASHMIR"|"021"|"Jammu"|"Total"|77.2|22.8|48.9|83.1
"01"|"JAMMU & KASHMIR"|"021"|"Jammu"|"Rural"|64.8|35.2|76|96.5
"01"|"JAMMU & KASHMIR"|"021"|"Jammu"|"Urban"|90.4|9.6|19.8|68.9
"01"|"JAMMU & KASHMIR"|"022"|"Samba"|"Total"|68|32|68.3|94.2
"01"|"JAMMU & KASHMIR"|"022"|"Samba"|"Rural"|65.6|34.4|74.2|95.6
"01"|"JAMMU & KASHMIR"|"022"|"Samba"|"Urban"|81|19|34.8|86.5
"02"|"HIMACHAL PRADESH"|"023"|"Chamba"|"Total"|35.5|64.5|49.9|85.5
"02"|"HIMACHAL PRADESH"|"023"|"Chamba"|"Rural"|31.8|68.2|52.7|87.8
"02"|"HIMACHAL PRADESH"|"023"|"Chamba"|"Urban"|82.7|17.3|13.5|55.7
"02"|"HIMACHAL PRADESH"|"024"|"Kangra"|"Total"|59.6|40.4|35.8|84.4
"02"|"HIMACHAL PRADESH"|"024"|"Kangra"|"Rural"|58.3|41.7|36.9|85.9
