Date|Food|Meat|Dairy|Cereals|Oils|Sugar
2/1999|97.8|100.5|91.3|92.4|110.9|96.8
3/1999|95.4|100.6|89.1|92.8|101.0|85.4
4/1999|93.3|98.4|84.6|90.7|105.1|76.9
5/1999|92.5|98.7|83.8|89.1|100.9|81.6
6/1999|91.9|100.1|83.0|89.9|89.3|85.6
7/1999|89.1|101.0|81.7|86.8|79.2|76.3
8/1999|92.0|103.6|82.3|89.3|85.4|81.6
9/1999|92.7|101.6|83.7|88.8|88.3|94.6
10/1999|91.5|99.8|84.5|86.5|86.5|96.1
11/1999|90.8|100.0|85.5|85.6|84.0|92.2
12/1999|88.7|97.2|86.8|83.8|81.1|85.3
1/2000|87.8|92.9|89.0|86.6|79.5|79.6
2/2000|88.7|97.6|88.3|87.7|75.8|75.1
3/2000|89.0|99.3|87.7|86.6|77.7|72.9
4/2000|89.5|96.6|88.1|87.2|80.2|85.4
5/2000|89.9|97.5|88.6|87.7|72.2|98.1
6/2000|91.4|98.3|93.1|85.2|69.3|118.8
7/2000|92.2|98.0|97.2|81.3|69.0|136.7
8/2000|91.9|95.7|98.4|80.2|67.2|148.1
9/2000|91.4|94.5|101.1|82.3|62.0|142.3
10/2000|93.3|94.4|103.6|86.5|59.0|152.5
11/2000|93.2|94.8|103.6|87.8|60.9|140.9
12/2000|95.3|98.4|104.4|90.2|61.2|142.2
1/2001|93.2|92.3|103.5|90.3|59.7|146.5
2/2001|94.1|98.7|103.0|88.7|57.1|140.1
3/2001|95.4|103.2|103.6|87.9|60.8|131.6
4/2001|93.6|102.1|102.6|85.6|60.2|124.1
5/2001|95.8|104.6|106.8|85.9|57.6|136.0
6/2001|95.0|102.3|108.2|84.9|61.5|128.3
7/2001|97.4|101.7|109.2|87.8|75.5|124.8
8/2001|96.7|101.5|108.3|86.9|79.6|115.1
9/2001|94.9|101.6|107.5|86.1|71.8|108.4
10/2001|92.9|99.8|109.0|85.0|68.2|96.4
11/2001|93.6|97.4|105.6|86.2|75.2|108.9
12/2001|92.8|96.0|99.1|86.6|78.7|111.1
1/2002|90.6|93.9|92.6|86.7|77.0|110.5
2/2002|88.2|93.1|91.8|84.9|74.7|92.9
3/2002|88.5|96.3|87.6|84.2|74.5|95.0
4/2002|86.6|92.0|84.9|82.7|77.2|97.7
5/2002|85.1|89.9|78.0|84.9|81.6|86.2
6/2002|86.3|91.2|75.3|87.3|88.4|81.6
7/2002|87.9|90.7|72.6|92.6|89.3|90.6
8/2002|89.2|88.1|71.6|99.2|94.7|89.3
9/2002|92.2|87.7|74.0|108.8|90.4|98.8
10/2002|92.6|85.4|76.0|108.1|93.9|106.6
11/2002|94.3|86.4|79.9|105.1|102.1|111.1
12/2002|93.9|84.5|86.3|100.0|105.1|112.8
1/2003|94.3|86.4|89.8|97.6|102.5|116.2
2/2003|96.0|88.3|92.3|98.0|99.7|127.7
3/2003|94.5|88.9|93.3|96.2|95.0|116.8
4/2003|93.9|89.8|91.5|95.7|95.3|110.0
5/2003|95.1|91.9|91.7|98.4|97.7|101.7
6/2003|94.8|92.6|91.8|97.3|99.1|95.4
7/2003|95.6|97.8|93.4|94.4|94.4|97.1
8/2003|97.2|99.0|94.6|99.1|92.0|96.9
9/2003|99.5|104.2|98.0|99.9|96.2|84.9
10/2003|101.8|103.4|102.1|100.3|109.2|84.6
11/2003|104.2|104.5|103.7|105.5|111.2|86.3
12/2003|105.7|103.8|105.6|107.9|115.4|89.2
1/2004|108.0|109.2|107.4|110.3|114.8|82.4
2/2004|109.7|106.9|112.5|112.3|122.6|82.9
3/2004|113.9|112.8|114.3|116.0|124.1|91.6
4/2004|114.3|111.0|115.9|118.4|123.8|93.3
5/2004|112.8|109.2|119.7|116.5|118.1|90.0
6/2004|114.5|118.1|125.0|111.6|106.1|98.3
7/2004|113.6|118.6|128.8|101.9|104.9|112.3
8/2004|112.4|117.5|129.3|99.5|106.0|107.5
9/2004|112.9|117.6|130.2|99.7|106.8|109.1
10/2004|112.3|115.2|131.1|98.4|104.9|119.9
11/2004|113.7|116.9|133.5|99.9|106.6|115.8
12/2004|113.8|117.0|134.0|100.6|104.8|117.1
1/2005|114.0|117.4|134.3|101.1|100.2|123.7
2/2005|113.6|117.0|133.7|99.9|98.6|129.2
3/2005|116.5|120.4|134.4|102.6|106.5|126.0
4/2005|114.6|119.8|133.4|99.2|104.0|121.9
5/2005|116.1|125.1|134.5|98.1|102.4|121.8
6/2005|117.9|127.3|134.3|99.8|103.4|128.4
7/2005|118.3|125.1|135.3|101.6|102.9|136.8
8/2005|118.1|125.2|136.9|100.0|99.8|141.0
9/2005|120.1|127.4|137.6|101.9|101.6|146.3
10/2005|122.2|127.2|137.4|104.4|106.7|157.8
11/2005|121.0|126.1|136.3|102.0|104.6|161.5
12/2005|122.9|126.1|134.7|104.6|101.2|189.4
1/2006|122.1|117.8|130.8|105.2|101.9|223.5
2/2006|125.5|117.3|130.6|109.0|104.0|254.6
3/2006|122.9|113.6|128.9|108.0|104.0|244.7
4/2006|123.8|114.9|126.6|109.6|105.7|248.2
5/2006|125.2|116.6|126.4|113.5|108.4|238.7
6/2006|125.0|120.6|126.2|113.3|108.2|218.5
7/2006|128.0|122.9|126.4|116.8|112.9|227.8
8/2006|127.2|127.6|125.6|115.6|117.6|190.9
9/2006|127.0|128.1|126.3|120.3|114.4|171.5
10/2006|129.7|125.8|129.0|132.4|116.3|165.2
11/2006|133.8|123.5|134.3|141.9|125.7|167.1
12/2006|135.6|121.8|144.6|141.1|133.3|164.2
1/2007|134.7|119.4|148.6|141.2|132.4|155.4
2/2007|137.5|120.5|155.2|146.4|134.1|150.0
3/2007|139.2|121.8|163.0|145.2|136.8|148.1
4/2007|143.5|124.8|182.2|141.0|150.0|137.9
5/2007|148.2|128.6|189.5|144.0|161.5|133.8
6/2007|157.5|132.3|218.2|152.2|168.9|131.8
7/2007|164.6|134.1|244.4|153.4|174.5|144.3
8/2007|170.6|136.6|257.0|162.7|180.3|139.1
9/2007|179.4|139.0|266.0|182.4|187.9|138.4
10/2007|182.3|135.0|268.5|190.3|199.4|141.9
11/2007|187.8|140.0|271.7|192.3|217.8|143.3
12/2007|191.6|137.7|265.1|210.0|220.6|152.0
1/2008|201.5|143.3|256.7|227.6|245.0|170.0
2/2008|216.2|144.3|254.8|263.7|269.6|191.7
3/2008|219.8|149.1|252.3|267.5|282.1|187.3
4/2008|217.4|153.5|246.8|264.4|271.0|178.2
5/2008|218.2|162.9|244.8|256.3|275.1|171.3
6/2008|225.8|171.0|246.6|267.7|284.9|172.1
7/2008|222.4|176.4|244.8|250.3|266.7|201.9
8/2008|210.5|179.2|229.8|233.6|221.6|207.3
9/2008|198.7|179.7|205.3|220.7|198.3|192.0
10/2008|174.6|170.1|185.8|186.7|150.7|168.9
11/2008|160.1|156.0|161.7|174.7|133.1|171.7
12/2008|151.2|142.5|147.3|172.6|127.5|166.7
1/2009|148.7|133.5|128.3|180.8|134.3|177.5
2/2009|143.0|125.0|120.0|174.0|132.8|187.7
3/2009|145.7|131.2|122.4|174.2|131.8|190.2
4/2009|150.4|134.8|123.1|175.8|151.3|193.7
5/2009|160.6|142.0|129.5|181.2|171.5|227.8
6/2009|161.0|145.8|130.7|179.8|162.7|233.1
7/2009|158.0|148.5|134.0|163.8|146.1|261.5
8/2009|164.1|150.5|137.6|160.1|159.1|318.4
9/2009|164.1|149.0|151.6|154.4|151.4|326.9
10/2009|167.9|144.9|167.4|163.6|154.8|321.3
11/2009|179.7|147.5|216.6|168.6|165.0|315.9
12/2009|180.9|142.5|222.2|166.7|173.4|334.0
1/2010|182.8|147.7|207.1|166.0|173.0|375.5
2/2010|179.4|148.9|198.8|161.0|173.4|360.8
3/2010|170.9|151.0|191.9|154.4|178.6|264.8
4/2010|172.2|156.2|207.2|151.7|176.9|233.4
5/2010|172.0|156.9|213.5|152.5|173.3|215.7
6/2010|170.2|157.0|207.2|148.4|171.8|224.9
7/2010|176.0|158.8|204.7|159.5|178.9|247.4
8/2010|186.0|160.9|201.6|182.1|197.5|262.7
9/2010|196.6|159.1|205.0|204.0|202.8|318.1
10/2010|208.3|163.6|211.8|217.2|225.6|349.3
11/2010|216.1|168.3|215.0|220.1|248.5|373.4
12/2010|225.2|170.6|215.1|233.8|268.9|398.4
1/2011|232.7|170.4|227.0|240.8|284.0|420.2
2/2011|240.1|174.0|239.9|254.6|286.5|418.2
3/2011|234.6|179.2|245.3|246.9|265.4|372.3
4/2011|238.0|186.9|238.0|261.3|265.2|345.7
5/2011|234.7|187.2|239.9|256.8|264.7|312.2
6/2011|235.2|185.2|240.4|250.6|261.0|357.7
7/2011|233.4|184.4|237.1|239.6|253.4|400.4
8/2011|232.4|184.8|230.5|244.8|246.4|393.7
9/2011|227.7|185.5|224.1|237.9|240.0|379.0
10/2011|218.4|184.6|214.2|223.9|223.7|361.2
11/2011|218.9|189.7|209.5|222.1|235.4|339.9
12/2011|213.3|187.8|207.6|211.9|228.1|326.9
1/2012|214.7|181.4|211.3|217.7|235.0|334.3
2/2012|217.2|184.2|207.1|220.9|240.8|342.3
3/2012|217.0|183.7|200.3|221.9|247.4|341.9
4/2012|213.9|185.0|187.9|218.6|253.4|324.0
5/2012|205.0|180.0|178.4|216.2|233.4|294.6
6/2012|200.6|174.0|176.2|217.0|219.2|290.4
7/2012|213.0|172.4|176.3|253.0|224.4|324.3
8/2012|213.8|177.7|181.7|253.6|223.6|296.2
9/2012|217.8|184.5|195.4|255.4|221.4|283.7
10/2012|217.1|187.2|201.0|254.3|201.9|288.2
11/2012|215.6|186.5|202.8|255.2|195.8|274.5
12/2012|213.8|187.2|204.9|249.1|190.7|274.0
1/2013|212.9|184.3|208.5|244.0|200.3|267.8
2/2013|212.6|186.4|209.7|241.1|201.8|259.2
3/2013|214.8|185.2|228.8|240.5|196.7|262.0
4/2013|216.9|186.6|258.8|230.7|194.0|252.6
5/2013|214.6|180.0|253.5|234.8|194.3|250.1
6/2013|211.9|179.7|246.2|232.3|193.5|242.6
7/2013|207.5|179.4|243.6|222.3|186.7|239.0
8/2013|204.5|182.4|247.6|206.8|181.8|241.7
9/2013|203.7|186.1|250.2|195.0|184.3|246.5
10/2013|206.6|187.3|251.1|196.6|188.0|264.8
11/2013|205.7|185.7|250.8|194.3|198.5|250.6
12/2013|206.2|185.6|264.1|192.9|196.0|234.9
1/2014|203.2|182.2|267.7|191.4|188.6|221.7
2/2014|208.6|181.8|275.4|198.6|197.8|235.4
3/2014|213.8|185.5|268.5|208.9|204.8|254.0
4/2014|211.5|190.4|251.5|209.2|199.0|249.9
5/2014|210.4|194.6|238.9|207.0|195.3|259.3
6/2014|208.9|202.8|236.5|196.1|188.8|258.0
7/2014|204.3|205.9|226.1|185.2|181.1|259.1
8/2014|198.3|212.0|200.8|182.5|166.6|244.3
9/2014|192.7|211.0|187.8|178.2|162.0|228.1
10/2014|192.7|210.2|184.3|178.3|163.7|237.6
11/2014|191.8|208.0|178.1|183.2|164.9|230.0
12/2014|188.6|204.0|174.0|183.9|161.0|219.1
