"country"|"preschool.population"|"preschool.anaemia.proportion"|"preschool.anaemia.population"|"pregnant.population"|"pregnant.anaemia.proportion"|"pregnant.anaemia.population"|"women.other.population"|"women.other.anaemia.proportion"|"women.other.anaemia.population"|"women.children.anaemia.proportion"
"Afghanistan"|5732|37.9|2172|1567|61|956|6645|24.7|1254|31.4
"Albania"|252|31|78|54|34|18|831|21.1|164|22.9
"Algeria"|3218|42.5|1369|712|42.8|305|9524|31.4|2770|33.0
"Andorra"|4|12|0|1|15.5|0|17|16.2|3|13.6
"Angola"|3058|29.7|908|811|57.1|463|3764|52.3|1544|38.2
"Antigua and Barbuda"|8|49.4|4|2|29.5|1|22|26.5|5|31.3
"Argentina"|3346|18.1|605|696|25.4|177|9828|18|1647|17.5
"Armenia"|162|23.9|39|37|12|4|885|12.4|105|13.7
"Australia"|1252|8|101|254|12.4|32|5114|14.7|714|12.8
"Austria"|379|10.5|40|72|15.5|11|1993|14.8|283|13.7
"Azerbaijan"|604|31.8|192|141|38.4|54|2551|40.2|969|36.9
"Bahamas"|30|21.9|7|6|23.3|1|91|22.7|19|21.3
"Bahrain"|64|24.7|16|12|27.7|3|185|51.3|88|41.0
"Bangladesh"|17491|47|8221|3759|47|1767|37148|33.2|11085|36.1
"Barbados"|16|17.1|3|3|23|1|76|17.2|13|17.9
"Belarus"|452|27.4|124|92|25.8|24|2643|19.4|496|20.2
"Belgium"|559|8.7|48|108|12.9|14|2421|13.5|313|12.1
"Belize"|34|35.9|12|7|51.7|4|72|31.2|20|31.9
"Benin"|1478|81.9|1210|366|72.7|266|1988|63.2|1025|65.3
"Bhutan"|297|80.6|239|66|49.6|33|533|54.8|256|58.9
"Bolivia"|1243|51.6|641|263|37|97|2308|32.9|673|37.0
"Bosnia and Herzegovina"|182|26.8|49|36|34.8|13|1001|21.3|206|22.0
"Botswana"|215|38|82|44|21.3|9|455|32.7|135|31.7
"Brazil"|18074|54.9|9923|3697|29.1|1077|52301|23.1|11213|30.0
"Brunei Darussalam"|40|24.2|10|8|38.9|3|110|20.4|21|21.5
"Bulgaria"|334|26.7|89|64|29.7|19|1872|17.7|319|18.8
"Burkina Faso"|2527|91.5|2313|655|68.3|448|3038|52|1239|64.3
"Burundi"|1394|56|780|395|47.1|186|1856|28|409|37.7
"Cambodia"|1869|63.4|1185|444|66.4|295|3795|57.3|1920|55.7
"Cameroon"|2465|68.3|1684|562|50.9|286|4009|44.3|1527|49.7
"Canada"|1691|7.6|129|327|11.5|38|8166|14.3|1122|12.7
"Cape Verde"|73|39.7|29|16|41.3|6|137|32.5|39|32.7
"Central African Republic"|644|84.2|542|151|54.8|83|953|49.8|399|58.6
"Chad"|1927|71.1|1370|508|60.4|307|2202|52.4|888|55.3
"Chile"|1233|24.4|301|251|28.3|71|4422|4.8|200|9.7
"China"|83929|20|16786|17566|28.9|5076|365828|19.9|69304|19.5
"Colombia"|4718|27.7|1307|962|31.1|299|12541|23.6|2729|23.8
"Comoros"|129|65.4|84|28|55|16|200|47.8|82|51.0
"Congo"|773|66.4|513|190|55.3|105|906|52.8|378|53.3
"Cook Islands"|2|24.7|0|0|27.2|0|4|18.2|1|16.7
"Costa Rica"|393|20.9|82|80|27.9|22|1195|18.9|211|18.9
"Cote d’Ivoire"|2794|69|1928|670|55.1|369|4307|47.4|1725|51.8
"Croatia"|205|23.4|48|41|28.4|12|1090|17.5|183|18.2
"Cuba"|674|26.7|180|129|39.1|51|3046|19.5|570|20.8
"Cyprus"|49|18.6|9|10|25.2|3|224|19.6|42|19.1
"Czech Republic"|455|18.4|84|91|22.3|20|2503|16.9|408|16.8
"Democratic People’s Republic of Korea"|1682|31.7|533|326|34.7|113|6145|34.7|2019|32.7
"Democratic Republic of Congo"|11602|70.6|8191|3094|67.3|2082|13096|52.8|5281|56.0
